word,group,count
facebook,1,922
company,1,591
trump,1,524
people,1,510
companies,1,453
google,1,361
amazon,1,359
tech,1,345
election,1,325
media,1,325
time,1,317
content,1,306
data,1,301
app,1,268
tiktok,1,266
social,1,259
political,1,257
users,1,247
told,1,238
recode,1,233
million,1,224
twitter,1,221
technology,1,213
work,1,208
years,1,205
platform,1,204
apple,1,200
public,1,199
year,1,196
president,1,192
business,1,191
information,1,184
make,1,183
platforms,1,182
big,1,181
including,1,181
made,1,177
law,1,172
news,1,171
states,1,170
section,1,166
employees,1,164
groups,1,161
facebooks,1,160
ads,1,158
online,1,154
internet,1,154
privacy,1,153
dont,1,152
health,1,151
misinformation,1,150
government,1,150
state,1,149
percent,1,145
democratic,1,144
trumps,1,143
recent,1,143
part,1,142
post,1,139
campaign,1,135
pandemic,2,134
netflix,2,134
apps,2,133
2020,2,132
called,2,132
world,2,131
speech,2,131
voting,2,130
230,2,129
doesnt,2,128
report,2,127
back,2,126
theyre,2,125
biden,2,124
open,2,123
months,2,122
covid19,2,121
chinese,2,121
money,2,120
vote,2,120
democrats,2,119
antitrust,2,116
case,2,116
clear,2,115
project,2,115
microsoft,2,115
change,2,114
ceo,2,112
free,2,111
power,2,110
announced,2,110
voter,2,109
companys,2,107
posts,2,106
long,2,105
policy,2,104
day,2,103
leaders,2,103
order,2,102
zuckerberg,2,102
instagram,2,102
lot,2,101
week,2,98
today,2,98
ad,2,97
major,2,97
federal,2,97
voters,2,96
good,2,96
security,2,96
hate,2,96
american,2,95
things,2,95
making,2,94
group,2,93
york,2,91
rights,2,91
video,2,91
access,2,91
2016,2,90
past,2,89
concerns,3,89
facial,3,89
number,3,88
policies,3,88
billion,3,88
presidential,3,87
didnt,3,87
early,3,87
support,3,86
sourced,3,86
republican,3,86
republicans,3,86
recognition,3,86
stop,3,85
climate,3,84
ban,3,83
set,3,82
statement,3,81
store,3,81
americans,3,80
working,3,80
user,3,79
walmart,3,79
coronavirus,3,78
point,3,78
search,3,78
party,3,77
service,3,77
fact,3,77
mark,3,77
national,3,77
small,3,77
move,3,77
civil,3,77
times,3,76
efforts,3,76
tool,3,76
research,3,76
united,3,76
spread,3,76
put,3,75
isnt,3,75
fcc,3,75
spokesperson,3,74
millions,3,74
stories,3,74
silicon,3,73
show,3,73
network,3,73
police,3,73
claims,3,72
rules,3,72
politicians,3,72
issues,3,72
means,3,72
bezos,3,72
month,3,71
call,3,71
executive,3,71
potential,3,71
congress,3,71
valley,4,70
system,4,70
home,4,70
earlier,4,70
china,4,70
house,4,70
wont,4,69
important,4,68
run,4,68
advertising,4,68
services,4,68
story,4,68
board,4,68
end,4,67
future,4,67
bias,4,67
customers,4,67
sellers,4,67
general,4,66
recently,4,66
qanon,4,66
amazons,4,65
pay,4,65
algorithms,4,65
account,4,65
related,4,64
act,4,64
ways,4,64
vox,4,64
place,4,63
hearing,4,63
email,4,63
industry,4,63
kind,4,63
im,4,63
practices,4,63
control,4,63
team,4,63
started,4,63
youre,4,63
large,4,62
days,4,62
person,4,62
private,4,62
devices,4,62
problem,4,61
false,4,61
reported,4,61
administration,4,61
wrote,4,61
wechat,4,61
question,4,60
digital,4,60
independent,4,60
history,4,60
3,4,60
program,4,60
results,4,60
experts,4,60
weeks,4,59
financial,4,59
lawmakers,5,59
members,5,59
department,5,58
2018,5,58
deal,5,58
popular,5,58
give,5,58
justice,5,58
lincoln,5,58
makes,5,57
top,5,57
found,5,57
june,5,57
feature,5,57
potentially,5,57
share,5,56
sources,5,56
contact,5,56
protests,5,56
cases,5,55
track,5,55
press,5,55
bill,5,55
process,5,55
action,5,54
impact,5,54
conspiracy,5,54
face,5,53
threat,5,53
hours,5,53
reach,5,53
mailin,5,53
global,5,53
find,5,53
center,5,53
continue,5,53
journalists,5,52
market,5,52
software,5,52
idea,5,52
laws,5,52
launched,5,51
website,5,51
whats,5,51
googles,5,51
conservative,5,51
feel,5,51
businesses,5,51
products,5,51
thing,5,51
surveillance,5,51
biggest,5,50
build,5,50
response,5,50
ago,5,50
systems,5,50
accounts,5,50
july,5,50
similar,5,50
california,5,50
sell,5,50
real,6,49
